Naziv,Cena,Procesor,Rezolucija,Broj HDMI
Samsung Series 7 QE75Q70BAT 1905 cm (75") 4K Ultra HD Smart TV Wi-Fi Titanijum,199.999  RSD,Nema podataka o procesoru,3840 x 2160 piksela,4
VOX Smart televizor LED 39A11H316B,21.998  RSD,Nema podataka o procesoru,1366 x 768 px,Nema podataka o HDMI
VOX Smart televizor 65DSW552V,61.998  RSD,Nema podataka o procesoru,3840 x 2160 px 4K UHD,3
FOX Smart televizor 50DLE858,36.998  RSD,ARM Cortex - A53 Quad Core,3840 x 2160 px 4K Ultra HD,3
Samsung Smart televizor QE65QN800BTXXH,379.999  RSD,Neuronski Quantum 8K procesor,7680 x 4320 px,4
Vox Smart televizor UHD 43A11U672B,27.998  RSD,Nema podataka o procesoru,3840 x 2160 px Ultra HD,3
Samsung Smart televizor UE32T4302AKXXH,26.999  RSD,HyperReal,1366 x 768 px HD Ready,2
Samsung Smart televizor UE60BU8002KXXH,75.999  RSD,Crystal 4K,3840 x 2160 px,3
Samsung Smart televizor QE55Q85RATXXH,134.999  RSD,Nema podataka o procesoru,Nema podataka o rezoluciji,Nema podataka o HDMI
Samsung Smart televizor UE50AU9072UXXH,74.999  RSD,Nema podataka o procesoru,Nema podataka o rezoluciji,Nema podataka o HDMI
Samsung Smart televizor QE65QN900BTXXH,599.999  RSD,Neuronski Quantum 8K procesor,7680 x 4320 px,4
Samsung Smart televizor QE50Q80AATXXH,129.999  RSD,Quantum Processor 4K,3840 x 2160 px 4K Ultra HD,4
Samsung Smart televizor QE55Q60BAUXXH,99.999  RSD,Nema podataka o procesoru,3840 x 2160 piksela,3
Sony Smart televizor KD55XH9096BAEP,99.998  RSD,X1 4K HDR,3840 x 2160 px 4K Ultra HD,4
Samsung Smart televizor UE85AU7172UXXH,199.999  RSD,Crystal Procesor 4K,3840 x 2160 px 4K Ultra HD,3
Sony Smart televizor 55" KD55X80JAEP,86.999  RSD,4K HDR Processor X1,3840 x 2160 px 4K Ultra HD,4
Sony Smart televizor 55" XR-55X90JCEP,119.999  RSD,Nema podataka o procesoru,Nema podataka o rezoluciji,Nema podataka o HDMI
Sony Smart televizor XR55X90JAEP,119.999  RSD,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,4
Sony Smart televizor KD-55X80JCEP,86.999  RSD,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,4
Sony Smart televizor XR-55X93J.AEP,129.999  RSD,Cognitive XR,3840 x 2160 px,4
Sony Smart televizor KE85XH9096BAEP,279.998  RSD,X1 4K HDR procesor,3840 x 2160 px 4K Ultra HD,4
