Sony Smart televizor XR65X90KAEP,199999.0,Nema podataka o procesoru,3840 x 2160 px,4
Samsung Series 7 QE75Q70BAT 1905 cm (75") 4K Ultra HD Smart TV Wi-Fi Titanijum,199999.0,Nema podataka o procesoru,3840 x 2160 piksela,4
Samsung Smart televizor UE85AU7172UXXH,199999.0,Crystal Procesor 4K,3840 x 2160 px 4K Ultra HD,3
Sony Smart televizor XR-55A90JCEP,209998.0,Nema podataka o procesoru,3840 x 2160 px 4K Ultra HD,4
Samsung Smart televizor QE65S95BATXXH,249999.0,Nema podataka o procesoru,Nema podataka o rezoluciji,Nema podataka o HDMI
Sony Smart televizor XR75X90KAEP,259999.0,Nema podataka o procesoru,3840 x 2160 px,4
Sony Smart televizor KE85XH9096BAEP,279998.0,X1 4K HDR procesor,3840 x 2160 px 4K Ultra HD,4
Sony Smart televizor XR55A95KAEP,329999.0,Nema podataka o procesoru,3840 x 216 px,Nema podataka o HDMI
Samsung Smart televizor QE65QN800BTXXH,379999.0,Neuronski Quantum 8K procesor,7680 x 4320 px,4
Sony Smart televizor XR-77A83K.AEP,449999.0,Cognitive XR,3840 x 2160 px,4
Samsung Smart televizor QE65QN900BTXXH,599999.0,Neuronski Quantum 8K procesor,7680 x 4320 px,4
